59,Support for Ireland's ruling coalition falls as election looms: DUBLIN (Reute...  #Anonymous,,,
60,A vote for Fianna Fail is a vote for Irish Water #GE16 #Right2Water #Right2Change,,,
61,@PaulDonnellySF @thejournal_ie Sinn Fein activists useing multiple social media accounts will do that alright #ge16 #dubw,,,
62,You had five years Kenny you failed #EndaOUT #GE16,,,
63,@ebhodge @EndaCostello Hence the need for a no promises GE16 better not to try & fool ppl,,,
64,@PartAnnMarie Who else is running? I've totally lost track due to focusing on #GE16 Dail election. @LynnToWin @TomClonan,,,
65,So what did they say they'd do? Here's an archive of political party manifestos and programmes for government:  #ge16,,,
66,No women on the Fianna Fail ticket in Sligo Leitrim. No women on the Fine Gael ticket either. Several clowns on both though. #GE16,,,
67,#labour #FG no show on #vinb #Peoplesdebate shows contempt for constituents Roll on #GE16 #VoteThemOut,,,
68,"In our ""look over there upcoming election"" #GE16 should media not be asking parties qs on #TTIP, #PublicBanking Plans to fix health service",,,
69,Thank you @CormacDevlin for pledging as a #GE16 candidate for people with neuro conditions  Pledge  #800000minds,,,
70,"Seeing as IRE is 'back on track, recovery,etc.' will FG/Lab/FF/SF abolish EMC & extra Minister (who cost c.€1m) DoPER? #GE2016",,,
71,"Tbf, imagine the damage that could be done to the national psyche if some randomer ""misused"" a tune. There's no coming back from that. #ge16",,,
72,Sinn Féin #GE16 campaign launch for #Cork NC this Thurs night. @JOBrien_SF @ThomasGouldsf working for #2Seats,,,
73,#liveline If you thought the IMF #FF deal was bad Wait till LabouRNU has finished with #TTIPP,,,
74,"Bailed out the banks only to open food banks. 3 more to open in ""recovering"" economy  #Jan23 #GE16 #vinb #not1home",,,
75,Sure I may as well listen to #Enda. He might mess up and accidentally reveal the date of #ge16. #fgaf16,,,
76,Martin's speech even more inward looking and irrelevant than I expecting - tell us what you'd do Micheal!!! #af16 #ge16,,,
77,Taoiseach needs to call #GE16 and let the people make their choice' - @GerryAdamsSF  #fgaf16,,,
78,From the party that deliberately ran down the infrastructure in the first place #GE16,,,
79,Where's the human element of the @FineGael closing #fgaf16 speech? What exactly will you do for R.Ireland if elected? #Mayo #Ge16,,,
80,Apparently the people of Blackrock are ruled by their emotions not by their brain #GE16 fever has begun,,,
81,"A message to all the Denis OBribe loving traitor scum at #fgaf16, we are going to wipe ye out in #GE16., like we did with FF last time.",,,
82,"Tory style cuts headline, an ad for private hospitals & an opinion piece slamming our public hospitals #smh #ge16",,,
